user_id	occurred_at	event_type	event_name	location	device
251	2014-07-29 14:32:29	engagement	login	Argentina	ipad air
108	2014-07-08 07:43:11	engagement	login	Mexico	hp pavilion desktop
264	2014-05-20 17:46:07	engagement	login	Venezuela	dell inspiron desktop
251	2014-08-06 15:24:42	engagement	login	Argentina	macbook air
238	2014-07-16 14:28:28	engagement	login	Venezuela	samsung galaxy note
251	2014-08-02 10:47:41	engagement	login	Argentina	macbook air
108	2014-07-21 17:34:43	engagement	login	Mexico	hp pavilion desktop
12103	2014-06-25 11:10:04	engagement	like_message	Argentina	macbook pro
16170	2014-08-23 18:53:20	engagement	like_message	Argentina	macbook pro
12103	2014-06-19 19:45:39	engagement	home_page	Argentina	macbook pro
12103	2014-06-25 11:08:39	engagement	like_message	Argentina	macbook pro
16170	2014-08-25 13:32:34	engagement	home_page	Argentina	macbook pro
16170	2014-08-22 13:33:08	engagement	home_page	Argentina	macbook pro
16170	2014-08-19 11:07:59	engagement	login	Argentina	macbook pro
12103	2014-06-25 11:07:03	engagement	login	Argentina	macbook pro
12103	2014-06-19 19:47:14	engagement	home_page	Argentina	macbook pro
12103	2014-06-18 16:00:16	engagement	search_autocomplete	Argentina	macbook pro
